id,title,genre,release_year,popularity,developer,publisher,price_per_day,rating
1,Dead or Alive: Dimensions,Fighting,2011,8.2,Team Ninja,Ubisoft Annecy,8654,T
2,Yaiba: Ninja Gaiden Z,Action,2014,4.5,"Spark Unlimited, comcept",Tecmo Koei,6113,M
3,Dynasty Warriors Gundam,Action,2007,6.8,"Koei, Omega Force",Namco Bandai Games,9033,T
4,Kengo: Master of Bushido,Fighting,2000,8.4,Light Weight,Ubisoft,5044,M
5,Watch Dogs,Action,2014,6.4,Ubisoft Romania,Ubisoft,8578,M
6,JU-ON: The Grudge,Action,2009,5.6,FeelPlus,Rising Star Games,6655,M
7,FIFA Soccer 11,Sports,2010,8,EA Sports,Electronic Arts,8485,E
8,Sorcery,Action,2012,7.3,The Workshop,Sony Computer Entertainment,5764,E10+
9,MLB 06: The Show,Sports,2006,8.9,SCEA San Diego Studios,Sony Computer Entertainment,9048,E
10,Major League Baseball 2K8,Sports,2008,5.6,Kush Games,Bethesda Softworks,5819,E
11,NCAA Football 2005,Sports,2004,9,EA Sports,Electronic Arts,7108,E
12,EyeToy Play,Misc,2003,7.5,"SCEE, Zoe Mode",Sony Computer Entertainment,5452,E
13,Tony Hawk's American Wasteland,Sports,2005,7.7,Neversoft Entertainment,Activision,7546,T
14,Inversion,Shooter,2012,5.4,Saber Interactive,Namco Bandai Games,9355,M
15,The Darkness II,Shooter,2012,7.5,Digital Extremes,Take-Two Interactive,6036,M
16,Need for Speed Rivals,Racing,2013,5.8,Ghost Games,Electronic Arts,6102,E10+
17,Alias,Action,2004,6,Acclaim Studios Cheltenham,Acclaim Entertainment,8790,T
18,Kingdoms of Amalur: Reckoning,Role-Playing,2012,7.7,Big Huge Games,Electronic Arts,9500,M
19,Untold Legends: The Warriors Code,Role-Playing,2006,8.3,Sony Online Entertainment,Ubisoft,9744,T
20,Six Flags Fun Park,Misc,2009,7.1,7 Studios,Ubisoft,5100,E10+
21,Cabela's African Safari,Sports,2006,5,FUN Labs,Activision Value,7927,T
22,Kung Fu Panda,Action,2008,7.8,Beenox,Activision,6358,E10+
23,Hellboy: The Science of Evil,Action,2008,6.1,Krome Studios,Konami Digital Entertainment,7516,T
24,Silent Hunter: Wolves of the Pacific,Simulation,2007,6.9,Ubisoft Romania,Ubisoft,5275,T
25,Sniper Elite V2,Shooter,2012,6.8,Rebellion,505 Games,6227,M
26,Bee Movie Game,Action,2007,5.8,Beenox,Activision,8916,E
27,Batman: Rise of Sin Tzu,Action,2003,7.7,Ubisoft Montreal,Ubisoft,5849,T
28,WWE 2K16,Sports,2015,7.4,Yuke's,Take-Two Interactive,7399,T
29,Fur Fighters: Viggo's Revenge,Action,2001,7.3,Bizarre Creations,Acclaim Entertainment,6271,T
30,Mega Man Anniversary Collection,Platform,2005,9.2,Atomic Planet Entertainment,Capcom,7882,E
31,Dance Central 3,Misc,2012,8,Harmonix Music Systems,Microsoft Game Studios,8666,T
32,Tony Hawk's Pro Skater 4,Sports,2002,8.5,Neversoft Entertainment,Activision,8892,T
33,MySims Agents,Adventure,2009,8.6,Electronic Arts,Electronic Arts,5671,E
34,Hot Wheels: Stunt Track Challenge,Racing,2004,8.1,Climax Group,THQ,5226,E
35,Harry Potter and the Goblet of Fire,Action,2005,6.7,Electronic Arts,Electronic Arts,9384,E10+
36,Bullet Witch,Shooter,2006,6.1,Cavia Inc.,Atari,5369,M
37,NBA Live 08,Sports,2007,6.2,EA Canada,Electronic Arts,6228,E
38,Catwoman,Action,2004,6.1,Argonaut Games,Electronic Arts,8128,T
39,Shrek SuperSlam,Action,2005,7.8,Shaba Games,Activision,5491,E10+
40,WWE SmackDown vs Raw 2008,Fighting,2007,6.6,Amaze Entertainment,THQ,8029,T
41,IL-2 Sturmovik: Birds of Prey,Simulation,2009,8.4,Gaijin Entertainment,505 Games,7966,T
42,Chaos Legion,Action,2003,8.2,Capcom,Capcom,5070,T
43,Metroid Prime Hunters,Shooter,2006,8,Nintendo,Nintendo,7162,T
44,Wipeout 2048,Racing,2012,8.2,Studio Liverpool,Sony Computer Entertainment,7448,E10+
45,Dragon Ball Z: Collectible Card Game,Misc,2002,5.5,ImaginEngine,Infogrames,7837,E
